date_of_interest,CASE_COUNT
8/7/2022,1617
6/21/2022,3665
5/12/2021,594
7/31/2021,850
3/31/2020,5458
4/30/2022,1619
7/17/2021,340
3/6/2022,340
3/7/2021,1876
11/15/2022,2388
12/23/2021,31828
7/21/2020,341
10/26/2021,597
7/17/2022,2389
1/4/2022,49237
4/24/2021,854
10/13/2021,1110
5/1/2022,1878
5/9/2021,343
5/14/2020,1111
10/23/2022,1111
8/31/2021,1623
3/26/2021,3415
1/29/2021,3671
12/29/2020,5207
9/26/2021,856
10/4/2022,1624
11/11/2022,1624
10/20/2020,601
10/23/2020,601
11/4/2020,1113
2/11/2021,3417
5/30/2020,346
7/29/2022,2906
10/15/2020,603
8/3/2020,348
8/27/2022,1116
4/26/2021,1372
5/21/2021,349
10/2/2020,605
3/11/2022,605
8/28/2022,1117
4/19/2021,1885
9/30/2020,606
9/28/2021,1118
11/13/2022,1374
4/8/2022,1886
5/1/2020,1887
12/5/2020,1887
6/20/2021,96
5/23/2022,4704
9/9/2020,353
10/14/2022,1633
12/15/2020,3681
10/20/2022,1634
10/6/2022,1890
6/7/2022,2914
12/29/2021,50530
3/12/2020,355
5/24/2021,355
3/1/2022,611
11/29/2020,1891
11/17/2022,1891
2/2/2021,2659
12/18/2020,3427
6/17/2020,356
9/23/2020,612
10/9/2021,612
1/26/2022,4196
2/6/2022,869
11/23/2021,1381
9/8/2022,1637
12/3/2021,1893
11/13/2021,614
8/9/2021,1894
1/17/2021,2918
4/25/2022,2918
2/14/2021,1895
3/17/2021,3175
1/15/2022,6759
5/17/2020,360
2/27/2022,360
3/16/2022,872
9/20/2021,1640
1/2/2021,4200
1/11/2022,18536
6/19/2020,361
5/15/2020,873
9/14/2021,1641
9/27/2022,1897
12/13/2021,7529
10/25/2020,362
10/18/2021,874
6/8/2022,2922
6/19/2021,107
6/10/2020,363
6/11/2020,363
3/13/2020,619
11/11/2021,875
9/16/2021,1387
3/18/2021,2923
12/7/2021,2923
7/21/2022,3435
1/22/2021,4715
1/17/2022,9835
7/6/2021,364
5/4/2021,876
8/26/2021,1644
2/17/2021,3436
6/27/2021,109
10/29/2020,621
4/2/2022,877
2/7/2021,1645
4/4/2022,2157
