report_week,case_count_weekly_change
01/11/2022 - 01/17/2022,42983
1/13/2021 - 1/19/2021,14824
03/29/2022 - 04/04/2022,489
03/07/2023 - 03/13/2023,1002
11/30/2021 - 12/6/2021,1771
8/24/2021 - 8/30/2021,7915
9/28/2021 - 10/4/2021,3052
9/30/2020 - 10/6/2020,1262
11/16/2021 - 11/22/2021,1262
12/20/2022 - 12/26/2022,2542
06/21/2022 - 06/27/2022,5870
12/23/2020 - 12/29/2020,9198
11/1/2023 - 11/7/2023,752
7/14/2021 - 7/20/2021,2544
10/5/2021 - 10/11/2021,2546
05/10/2022 - 05/16/2022,1524
06/28/2022 - 07/04/2022,6645
6/24/2020 - 6/30/2020,4598
2/8/2022 - 2/14/2022,5368
3/10/2021 - 3/16/2021,2041
12/06/2022 - 12/12/2022,2809
11/08/2022 - 11/14/2022,1018
12/9/2020 - 12/15/2020,6650
7/11/2023 - 7/17/2023,509
01/31/2023 - 02/06/2023,1533
9/5/2023 - 9/11/2023,2045
3/24/2021 - 3/30/2021,2557
