Date,Cases___Total
10/30/2020,1871
3/10/2021,336
3/3/2021,336
9/28/2022,336
11/10/2021,592
1/29/2021,592
1/1/2022,1872
3/6/2022,81
7/13/2020,337
10/21/2021,337
11/8/2020,1105
7/9/2021,82
3/13/2022,82
5/25/2023,82
5/18/2023,82
10/14/2020,850
5/30/2023,83
7/25/2023,83
7/30/2020,339
9/23/2022,339
12/24/2021,3923
4/16/2023,85
10/9/2023,85
4/12/2020,341
9/3/2020,341
5/12/2021,341
1/13/2021,1109
11/30/2020,2389
12/22/2021,7509
3/12/2022,86
7/24/2023,86
9/11/2020,342
1/4/2021,1878
4/22/2023,87
3/12/2023,87
10/26/2021,343
9/4/2021,343
10/28/2022,343
4/6/2022,599
1/4/2022,9559
7/10/2020,344
8/11/2021,600
10/6/2023,89
5/29/2021,89
10/14/2022,345
1/13/2023,345
5/23/2023,90
7/28/2023,90
4/2/2023,90
7/5/2020,90
7/24/2020,346
8/28/2022,346
5/19/2023,91
9/24/2023,91
8/14/2020,347
7/18/2021,92
11/5/2023,92
4/8/2021,860
11/3/2020,2140
12/5/2023,93
2/27/2022,93
5/22/2023,93
10/22/2023,93
3/5/2022,93
3/12/2021,349
8/6/2020,349
11/8/2021,605
5/12/2023,94
3/24/2020,350
9/22/2020,350
10/1/2023,95
9/10/2023,95
6/3/2021,95
8/2/2020,95
5/23/2021,95
5/17/2022,1375
8/1/2023,96
4/9/2023,96
7/26/2020,96
10/21/2023,96
4/15/2023,96
3/17/2020,96
3/28/2022,352
3/8/2023,352
9/15/2020,352
5/8/2022,608
8/7/2023,97
7/12/2020,97
10/18/2021,353
9/24/2021,353
12/13/2020,609
5/4/2020,1121
8/3/2023,98
7/26/2023,98
5/17/2023,98
3/11/2021,354
10/5/2023,99
9/23/2023,99
7/30/2021,355
12/4/2021,611
6/2/2021,100
8/12/2023,100
7/19/2020,100
8/30/2020,100
4/16/2022,356
9/18/2020,356
12/27/2020,612
10/8/2020,612
8/26/2023,101
5/15/2023,101
2/26/2021,357
5/28/2022,613
1/7/2021,1381
8/20/2023,102
6/7/2021,102
2/15/2022,358
10/24/2022,614
7/12/2021,103
7/13/2021,103
5/16/2023,103
9/17/2023,103
8/28/2021,359
12/26/2021,4455
11/23/2023,104
5/5/2023,104
10/6/2022,360
9/29/2022,360
12/16/2020,1384
10/13/2023,105
10/13/2021,361
10/14/2021,361
